Frame_Idx,Filename,Centroid_X,Centroid_Y,Cov_XX,Cov_YY,Cov_XY,SNR,Peak_Value,Cluster_Size
0,frame_0000.fits,196.48616468453187,255.99108465134387,0.0021072315673117087,0.0021072315673117087,0.0,10.892156495494428,98.71852005542964,4
1,frame_0001.fits,198.34415230497808,256.2863996734293,0.0022088739320899695,0.0022088739320899695,0.0,10.638601449838477,96.55441733639987,3
2,frame_0002.fits,204.64652557740672,255.75340066396456,0.0013379869683796625,0.0013379869683796625,0.0,13.669230362106834,124.06360418466794,3
3,frame_0003.fits,213.53718265818793,256.0,0.0022795994556250917,0.0022795994556250917,0.0,10.472267617846654,94.64390416162635,2
4,frame_0004.fits,226.29467781991428,256.33718208598214,0.002277839954747607,0.002277839954747607,0.0,10.476311450502157,95.22781492005488,3
5,frame_0005.fits,240.6534957675035,255.71854467677778,0.0018568410589851767,0.0018568410589851767,0.0,11.603329870037527,105.68411687021343,3
6,frame_0006.fits,256.09054553063686,255.8415043399544,0.0013377937148884558,0.0013377937148884558,0.0,13.670217633562366,123.46059385851916,6
7,frame_0007.fits,271.64976776097,256.27035646208736,0.0014661100226984506,0.0014661100226984506,0.0,13.058302440462727,118.812476700281,3
8,frame_0008.fits,286.388131333345,256.1968483196341,0.0012876637039349772,0.0012876637039349772,0.0,13.933774483420835,125.98541719039542,5
9,frame_0009.fits,298.50623511089054,255.9924907401205,0.001789066971343823,0.001789066971343823,0.0,11.821067719321285,107.62858791373897,6
10,frame_0010.fits,307.69845489499863,256.3106910069582,0.0017635309461454406,0.0017635309461454406,0.0,11.906344979678234,108.35231379953287,3
11,frame_0011.fits,313.60771662949423,256.21592106075326,0.0017179863396754374,0.0017179863396754374,0.0,12.063133975197417,109.08664409346333,5
12,frame_0012.fits,315.7274168947272,255.98546773316147,0.0014760579086770316,0.0014760579086770316,0.0,13.014224862955453,118.36166940969501,4
13,frame_0013.fits,313.37486313155574,255.77254970783076,0.0012758095408377235,0.0012758095408377235,0.0,13.998357528968267,126.69312448568245,3
14,frame_0014.fits,307.6250134936052,256.3062789267137,0.002226978020140571,0.002226978020140571,0.0,10.595270260240957,96.07123916539906,3
15,frame_0015.fits,297.6397642568745,255.73405560377495,0.0016743612292966822,0.0016743612292966822,0.0,12.2192746024735,110.9427625209371,3
16,frame_0016.fits,285.4805688495085,255.98180929267497,0.0024588108925880435,0.0024588108925880435,0.0,10.083410320691694,91.31740418029689,4
17,frame_0017.fits,270.5130454721069,255.54294693454847,0.0018411556001086357,0.0018411556001086357,0.0,11.652651491124926,105.78010868589226,4
18,frame_0018.fits,255.0097968899538,256.2215669251841,0.0016430676231207228,0.0016430676231207228,0.0,12.335088944125514,111.9649865591977,4
19,frame_0019.fits,239.51751694783536,256.0,0.0013675253903345289,0.0013675253903345289,0.0,13.520797396060583,122.72479614502052,2
20,frame_0020.fits,225.57692623948742,255.80007505926557,0.0018076835857107705,0.0018076835857107705,0.0,11.760039949789249,106.18264605822279,5
21,frame_0021.fits,213.4830404089955,256.04378946372884,0.0023874767161064874,0.0023874767161064874,0.0,10.232940099999723,92.31696053009904,4
22,frame_0022.fits,203.96172871000482,255.78142132834495,0.0018977609464491806,0.0018977609464491806,0.0,11.47755154305438,104.28895696351532,4
23,frame_0023.fits,198.48964212106213,256.435377577282,0.0019437271981353461,0.0019437271981353461,0.0,11.341026062680568,103.18366788105736,4
24,frame_0024.fits,196.6402921672444,256.26489632117125,0.0015395820054715805,0.0015395820054715805,0.0,12.742909275497917,115.6289962702059,3
