Frame,Time,Object_ID,Target_SNR,True_X,True_Y,Signal_Flux
0,0.0,state_results_deputy_a,9.431045580942786,196.3863758441819,256.0,979.156786408573
1,3600.0,state_results_deputy_a,9.431045580942786,198.42855974679009,256.0,979.156786408573
2,7200.0,state_results_deputy_a,9.431045580942786,204.41559752618556,256.0,979.156786408573
3,10800.0,state_results_deputy_a,9.431045580942786,213.93743762736037,256.0,979.156786408573
4,14400.0,state_results_deputy_a,9.431045580942786,226.3418667872568,256.0,979.156786408573
5,18000.0,state_results_deputy_a,9.431045580942786,240.7791195598868,256.0,979.156786408573
6,21600.0,state_results_deputy_a,9.431045580942786,256.26003117732813,256.0,979.156786408573
7,25200.0,state_results_deputy_a,9.431045580942786,271.72376965923934,256.0,979.156786408573
8,28800.0,state_results_deputy_a,9.431045580942786,286.11051944195094,256.0,979.156786408573
9,32400.0,state_results_deputy_a,9.431045580942786,298.43413856183247,256.0,979.156786408573
10,36000.0,state_results_deputy_a,9.431045580942786,307.8498016235373,256.0,979.156786408573
11,39600.0,state_results_deputy_a,9.431045580942786,313.711975107012,256.0,979.156786408573
12,43200.0,state_results_deputy_a,9.431045580942786,315.61872975227584,256.0,979.156786408573
13,46800.0,state_results_deputy_a,9.431045580942786,313.43933269436144,256.0,979.156786408573
14,50400.0,state_results_deputy_a,9.431045580942786,307.323215157029,256.0,979.156786408573
15,54000.0,state_results_deputy_a,9.431045580942786,297.6896987080728,256.0,979.156786408573
16,57600.0,state_results_deputy_a,9.431045580942786,285.1991932357202,256.0,979.156786408573
17,61200.0,state_results_deputy_a,9.431045580942786,270.7078586399201,256.0,979.156786408573
18,64800.0,state_results_deputy_a,9.431045580942786,255.2088595890042,256.0,979.156786408573
19,68400.0,state_results_deputy_a,9.431045580942786,239.76425956898385,256.0,979.156786408573
20,72000.0,state_results_deputy_a,9.431045580942786,225.43223444614213,256.0,979.156786408573
21,75600.0,state_results_deputy_a,9.431045580942786,213.1945955137072,256.0,979.156786408573
22,79200.0,state_results_deputy_a,9.431045580942786,203.88957915444013,256.0,979.156786408573
23,82800.0,state_results_deputy_a,9.431045580942786,198.15449032070845,256.0,979.156786408573
24,86400.0,state_results_deputy_a,9.431045580942786,196.3821076272165,256.0,979.156786408573
